,feature_set,lookback,horizon,rmse,r2,val_loss,hidden_size,num_layers,dropout,lr
delta_baseline_lb12_h1,baseline,12,1,0.03410998457810845,0.2602537274360657,1.2442117014475036,64,1,0.2,0.001
delta_baseline_lb12_h3,baseline,12,3,0.06045472338792394,0.38656121492385864,0.9901870750544364,64,1,0.2,0.001
delta_baseline_lb12_h6,baseline,12,6,0.08381149051845585,0.2980077266693115,1.1093631614195674,32,1,0.2,0.001
delta_baseline_lb12_h12,baseline,12,12,0.1070092730339279,0.1602575182914734,1.2597139928685992,32,1,0.3,0.001
delta_baseline_lb24_h1,baseline,24,1,0.033319612531476306,0.2968350052833557,0.8942066343468532,128,2,0.2,0.0005
delta_baseline_lb24_h3,baseline,24,3,0.062283092974786354,0.3512369990348816,0.8513703110317389,128,2,0.2,0.0005
delta_baseline_lb24_h6,baseline,24,6,0.08461328883554305,0.28593021631240845,1.1197987611879383,128,2,0.2,0.0005
delta_baseline_lb24_h12,baseline,24,12,0.1075757138876174,0.15263307094573975,1.181434656182925,64,2,0.3,0.0005
delta_baseline_no_n2o_lb12_h1,baseline_no_n2o,12,1,0.035301784776972114,0.20765727758407593,1.3841339770639152,64,1,0.4,0.0005
delta_baseline_no_n2o_lb12_h3,baseline_no_n2o,12,3,0.06477883792573956,0.2956686019897461,1.1516921635259663,64,1,0.4,0.0005
delta_baseline_no_n2o_lb12_h6,baseline_no_n2o,12,6,0.09435224313183287,0.11032861471176147,1.2766534344930398,64,1,0.4,0.0005
delta_baseline_no_n2o_lb12_h12,baseline_no_n2o,12,12,0.11257223518895752,0.0706787109375,1.3943549981504155,64,1,0.4,0.0005
delta_baseline_no_n2o_lb24_h1,baseline_no_n2o,24,1,0.03592786303396329,0.18243902921676636,1.0647862276487183,64,1,0.2,0.001
delta_baseline_no_n2o_lb24_h3,baseline_no_n2o,24,3,0.07465562423034221,0.06788218021392822,1.1618892516483341,64,1,0.2,0.001
delta_baseline_no_n2o_lb24_h6,baseline_no_n2o,24,6,0.08571045316525074,0.26729172468185425,1.2099512833121575,32,1,0.2,0.001
delta_baseline_no_n2o_lb24_h12,baseline_no_n2o,24,12,0.10995735379438414,0.11469769477844238,1.349776526553589,32,1,0.3,0.001
delta_extended_lb12_h1,extended,12,1,0.033131258689292384,0.3020961284637451,1.2232637474672836,64,1,0.2,0.0005
delta_extended_lb12_h3,extended,12,3,0.060040017488338954,0.39494848251342773,0.9979140848705643,64,1,0.2,0.0005
delta_extended_lb12_h6,extended,12,6,0.08448462869991635,0.2866863012313843,1.0672679350041507,32,1,0.2,0.0005
delta_extended_lb12_h12,extended,12,12,0.10658796620704859,0.1668567657470703,1.2536587873310374,32,1,0.3,0.0005
delta_extended_lb24_h1,extended,24,1,0.03398602491243198,0.26842623949050903,0.8946090254344439,128,1,0.2,0.001
delta_extended_lb24_h3,extended,24,3,0.06266615804733634,0.3432321548461914,0.8362705344170854,128,1,0.2,0.001
delta_extended_lb24_h6,extended,24,6,0.08788190374549705,0.22969549894332886,0.9812968841247391,128,1,0.2,0.001
delta_extended_lb24_h12,extended,24,12,0.10555264880004642,0.18420451879501343,1.1984788255864067,64,1,0.3,0.001
delta_extended_no_n2o_lb12_h1,extended_no_n2o,12,1,0.03483029262025537,0.22868108749389648,1.3094619507329506,64,1,0.2,0.001
delta_extended_no_n2o_lb12_h3,extended_no_n2o,12,3,0.06542153805895824,0.28162330389022827,1.097204496201716,64,1,0.2,0.001
delta_extended_no_n2o_lb12_h6,extended_no_n2o,12,6,0.09033014450164832,0.18456262350082397,1.1431226655840874,32,1,0.2,0.001
delta_extended_no_n2o_lb12_h12,extended_no_n2o,12,12,0.1107782663379355,0.10006237030029297,1.3678316892239086,32,1,0.3,0.001
delta_extended_no_n2o_lb24_h1,extended_no_n2o,24,1,0.036131299799107154,0.17315423488616943,0.9595826907377494,64,1,0.2,0.0005
delta_extended_no_n2o_lb24_h3,extended_no_n2o,24,3,0.06620550667874758,0.2669494152069092,0.949324091536957,64,1,0.2,0.0005
delta_extended_no_n2o_lb24_h6,extended_no_n2o,24,6,0.0892698680490914,0.20517170429229736,1.184809528944785,64,1,0.2,0.0005
delta_extended_no_n2o_lb24_h12,extended_no_n2o,24,12,0.11268320564015138,0.07026016712188721,1.3405569057192719,64,1,0.3,0.0005
