Unnamed: 0,feature_set,lookback,horizon,rmse,r2,val_loss,hidden_size,num_layers,dropout,lr,target
absolute_baseline_lb12_h1,baseline,12,1,0.0496604270024488,0.8813982009887695,0.1145829372434762,64,1,0.4,0.0005,absolute
absolute_baseline_no_n2o_lb12_h1,baseline_no_n2o,12,1,0.1927780023283647,-0.787250280380249,1.5085437828511523,64,1,0.4,0.0005,absolute
absolute_extended_lb12_h1,extended,12,1,0.0430360816515181,0.9109290838241576,0.0891688966943898,128,1,0.2,0.001,absolute
absolute_extended_no_n2o_lb12_h1,extended_no_n2o,12,1,0.1750213782416619,-0.4731690883636474,1.2306175271473956,64,1,0.4,0.0005,absolute
absolute_baseline_lb24_h3,baseline,24,3,0.0835081225648274,0.6651337146759033,0.2381383744967088,128,2,0.2,0.0005,absolute
absolute_baseline_no_n2o_lb12_h3,baseline_no_n2o,12,3,0.1863009239031303,-0.6705656051635742,1.415204326638527,64,1,0.4,0.0005,absolute
absolute_extended_lb12_h3,extended,12,3,0.0730306144455321,0.7432896494865417,0.2302146013826131,128,1,0.2,0.001,absolute
absolute_extended_no_n2o_lb24_h3,extended_no_n2o,24,3,0.1633636200680296,-0.2815178632736206,1.1927898688601295,64,1,0.4,0.0005,absolute
absolute_baseline_lb12_h6,baseline,12,6,0.0917988736361183,0.5944223403930664,0.368839298031832,32,1,0.4,0.0005,absolute
absolute_baseline_no_n2o_lb12_h6,baseline_no_n2o,12,6,0.1688997118934587,-0.372957706451416,1.1625872805976032,32,1,0.4,0.0005,absolute
absolute_extended_lb12_h6,extended,12,6,0.1020497089311396,0.4987863302230835,0.3722825176654416,128,1,0.2,0.001,absolute
absolute_extended_no_n2o_lb24_h6,extended_no_n2o,24,6,0.1619576122952247,-0.2584090232849121,0.9769800485095436,32,1,0.4,0.0005,absolute
absolute_baseline_lb24_h12,baseline,24,12,0.113311200457694,0.3840049505233764,0.5464228238714369,64,2,0.3,0.0005,absolute
absolute_baseline_no_n2o_lb12_h12,baseline_no_n2o,12,12,0.1635672952126169,-0.2869969606399536,1.0661678667784782,32,1,0.4,0.0005,absolute
absolute_extended_lb12_h12,extended,12,12,0.1161837866665822,0.3506547808647156,0.5956517359274521,64,1,0.3,0.001,absolute
absolute_extended_no_n2o_lb24_h12,extended_no_n2o,24,12,0.1696554594718881,-0.3809159994125366,1.110229631853208,32,1,0.4,0.0005,absolute
delta_baseline_lb24_h1,baseline,24,1,0.0333196125314763,0.2968350052833557,0.8942066343468532,128,2,0.2,0.0005,delta
delta_baseline_no_n2o_lb12_h1,baseline_no_n2o,12,1,0.0353017847769721,0.2076572775840759,1.3841339770639152,64,1,0.4,0.0005,delta
delta_extended_lb12_h1,extended,12,1,0.0331312586892923,0.3020961284637451,1.2232637474672836,64,1,0.2,0.0005,delta
delta_extended_no_n2o_lb12_h1,extended_no_n2o,12,1,0.0348302926202553,0.2286810874938964,1.3094619507329506,64,1,0.2,0.001,delta
delta_baseline_lb12_h3,baseline,12,3,0.0604547233879239,0.3865612149238586,0.9901870750544364,64,1,0.2,0.001,delta
delta_baseline_no_n2o_lb12_h3,baseline_no_n2o,12,3,0.0647788379257395,0.2956686019897461,1.1516921635259665,64,1,0.4,0.0005,delta
delta_extended_lb12_h3,extended,12,3,0.0600400174883389,0.3949484825134277,0.9979140848705644,64,1,0.2,0.0005,delta
delta_extended_no_n2o_lb12_h3,extended_no_n2o,12,3,0.0654215380589582,0.2816233038902282,1.097204496201716,64,1,0.2,0.001,delta
delta_baseline_lb12_h6,baseline,12,6,0.0838114905184558,0.2980077266693115,1.1093631614195674,32,1,0.2,0.001,delta
delta_baseline_no_n2o_lb24_h6,baseline_no_n2o,24,6,0.0857104531652507,0.2672917246818542,1.2099512833121575,32,1,0.2,0.001,delta
delta_extended_lb12_h6,extended,12,6,0.0844846286999163,0.2866863012313843,1.0672679350041507,32,1,0.2,0.0005,delta
delta_extended_no_n2o_lb24_h6,extended_no_n2o,24,6,0.0892698680490914,0.2051717042922973,1.184809528944785,64,1,0.2,0.0005,delta
delta_baseline_lb12_h12,baseline,12,12,0.1070092730339279,0.1602575182914734,1.2597139928685992,32,1,0.3,0.001,delta
delta_baseline_no_n2o_lb24_h12,baseline_no_n2o,24,12,0.1099573537943841,0.1146976947784423,1.349776526553589,32,1,0.3,0.001,delta
delta_extended_lb24_h12,extended,24,12,0.1055526488000464,0.1842045187950134,1.1984788255864067,64,1,0.3,0.001,delta
delta_extended_no_n2o_lb12_h12,extended_no_n2o,12,12,0.1107782663379355,0.1000623703002929,1.3678316892239086,32,1,0.3,0.001,delta
