feature_set,horizon,absolute,delta
baseline,1,0.0496604270024488,0.0333196125314763
baseline,3,0.0835081225648274,0.0604547233879239
baseline,6,0.0917988736361183,0.0838114905184558
baseline,12,0.113311200457694,0.1070092730339279
baseline_no_n2o,1,0.1927780023283647,0.0353017847769721
baseline_no_n2o,3,0.1863009239031303,0.0647788379257395
baseline_no_n2o,6,0.1688997118934587,0.0857104531652507
baseline_no_n2o,12,0.1635672952126169,0.1099573537943841
extended,1,0.0430360816515181,0.0331312586892923
extended,3,0.0730306144455321,0.0600400174883389
extended,6,0.1020497089311396,0.0844846286999163
extended,12,0.1161837866665822,0.1055526488000464
extended_no_n2o,1,0.1750213782416619,0.0348302926202553
extended_no_n2o,3,0.1633636200680296,0.0654215380589582
extended_no_n2o,6,0.1619576122952247,0.0892698680490914
extended_no_n2o,12,0.1696554594718881,0.1107782663379355
