feature_set,horizon,absolute,delta
baseline,1,0.8813982009887695,0.2968350052833557
baseline,3,0.6651337146759033,0.3865612149238586
baseline,6,0.5944223403930664,0.2980077266693115
baseline,12,0.3840049505233764,0.1602575182914734
baseline_no_n2o,1,-0.787250280380249,0.2076572775840759
baseline_no_n2o,3,-0.6705656051635742,0.2956686019897461
baseline_no_n2o,6,-0.372957706451416,0.2672917246818542
baseline_no_n2o,12,-0.2869969606399536,0.1146976947784423
extended,1,0.9109290838241576,0.3020961284637451
extended,3,0.7432896494865417,0.3949484825134277
extended,6,0.4987863302230835,0.2866863012313843
extended,12,0.3506547808647156,0.1842045187950134
extended_no_n2o,1,-0.4731690883636474,0.2286810874938964
extended_no_n2o,3,-0.2815178632736206,0.2816233038902282
extended_no_n2o,6,-0.2584090232849121,0.2051717042922973
extended_no_n2o,12,-0.3809159994125366,0.1000623703002929
